Diet Type,Year,Share of respondents
Clean eating,2018,0.0
Clean eating,2019,0.1
Intermittent fasting,2018,0.1
Intermittent fasting,2019,0.09
Gluten-free diet,2018,0.06
Gluten-free diet,2019,0.06
Low-carb diet,2018,0.05
Low-carb diet,2019,0.06
Ketogenic or high-fat diet,2018,0.03
Ketogenic or high-fat diet,2019,0.06
Plant-based diet,2018,0.0
Plant-based diet,2019,0.05
Weight-loss plan,2018,0.04
Weight-loss plan,2019,0.05
Mediterranean diet,2018,0.05
Mediterranean diet,2019,0.05
Vegetarian or vegan diet,2018,0.04
Vegetarian or vegan diet,2019,0.03
Paleo Diet,2018,0.07
Paleo Diet,2019,0.03
Flexitarian,2018,0.03
Flexitarian,2019,0.03
Cleanse,2018,0.0
Cleanse,2019,0.02
Whole 30,2018,0.05
Whole 30,2019,0.03
DASH diet,2018,0.02
DASH diet,2019,0.02
Other,2018,0.02
Other,2019,0.02
Low-FODMAP,2018,0.0
Low-FODMAP,2019,0.01
