Frequency,Race/Ethnicity,Share of respondents
Frequently (one or more times per month),White,0.12
Frequently (one or more times per month),Hispanic,0.27
Frequently (one or more times per month),African–American,0.22
Frequently (one or more times per month),Other,0.16
Occasionally (less than once a month),White,0.4
Occasionally (less than once a month),Hispanic,0.43
Occasionally (less than once a month),African–American,0.41
Occasionally (less than once a month),Other,0.47
Infrequently (once a year or less),White,0.48
Infrequently (once a year or less),Hispanic,0.3
Infrequently (once a year or less),African–American,0.37
Infrequently (once a year or less),Other,0.37
