Year,Age Group,Number of suicides
2014,0–19 years,30
2014,20–39 years,255
2014,40–64 years,341
2014,65 years and older,163
2015,0–19 years,22
2015,20–39 years,225
2015,40–64 years,328
2015,65 years and older,156
2016,0–19 years,26
2016,20–39 years,253
2016,40–64 years,324
2016,65 years and older,184
2017,0–19 years,37
2017,20–39 years,281
2017,40–64 years,321
2017,65 years and older,185
2018,0–19 years,36
2018,20–39 years,267
2018,40–64 years,304
2018,65 years and older,203
2019,0–19 years,38
2019,20–39 years,267
2019,40–64 years,272
2019,65 years and older,169
