Year,Region,Media rights revenue in billion U.S. dollars
2009,North America,8.61
2009,"Europe, Middle East and Africa",9.95
2009,Asia Pacific,3.53
2009,Latin America,0.99
2010,North America,9.74
2010,"Europe, Middle East and Africa",12.37
2010,Asia Pacific,3.93
2010,Latin America,1.17
2011,North America,9.3
2011,"Europe, Middle East and Africa",10.68
2011,Asia Pacific,3.73
2011,Latin America,1.14
2012,North America,10.66
2012,"Europe, Middle East and Africa",13.46
2012,Asia Pacific,4.06
2012,Latin America,1.21
2013,North America,9.58
2013,"Europe, Middle East and Africa",11.85
2013,Asia Pacific,4.01
2013,Latin America,1.27
