Industry Sector,Period,Share of SMEs
Construction,Q2 2014,0.1
Construction,Q2 2015,0.1
Construction,Q2 2016,0.07
Construction,Q2 2017,0.09
Construction,Q2 2018,0.13
Construction,Q2 2019,0.22
Manufacturing,Q2 2014,0.15
Manufacturing,Q2 2015,0.15
Manufacturing,Q2 2016,0.06
Manufacturing,Q2 2017,0.09
Manufacturing,Q2 2018,0.16
Manufacturing,Q2 2019,0.15
"Other Community, Social and Personal Service Activities",Q2 2014,0.06
"Other Community, Social and Personal Service Activities",Q2 2015,0.04
"Other Community, Social and Personal Service Activities",Q2 2016,0.09
"Other Community, Social and Personal Service Activities",Q2 2017,0.06
"Other Community, Social and Personal Service Activities",Q2 2018,0.11
"Other Community, Social and Personal Service Activities",Q2 2019,0.12
"Transport, Storage and Communication",Q2 2014,0.13
"Transport, Storage and Communication",Q2 2015,0.12
"Transport, Storage and Communication",Q2 2016,0.09
"Transport, Storage and Communication",Q2 2017,0.07
"Transport, Storage and Communication",Q2 2018,0.11
"Transport, Storage and Communication",Q2 2019,0.12
Wholesale and Retail Trade; Repairs,Q2 2014,0.11
Wholesale and Retail Trade; Repairs,Q2 2015,0.11
Wholesale and Retail Trade; Repairs,Q2 2016,0.06
Wholesale and Retail Trade; Repairs,Q2 2017,0.1
Wholesale and Retail Trade; Repairs,Q2 2018,0.12
Wholesale and Retail Trade; Repairs,Q2 2019,0.12
Health and Social work,Q2 2014,0.03
Health and Social work,Q2 2015,0.03
Health and Social work,Q2 2016,0.06
Health and Social work,Q2 2017,0.05
Health and Social work,Q2 2018,0.11
Health and Social work,Q2 2019,0.1
"Real Estate, Renting and Business Activities",Q2 2014,0.1
"Real Estate, Renting and Business Activities",Q2 2015,0.11
"Real Estate, Renting and Business Activities",Q2 2016,0.06
"Real Estate, Renting and Business Activities",Q2 2017,0.09
"Real Estate, Renting and Business Activities",Q2 2018,0.13
"Real Estate, Renting and Business Activities",Q2 2019,0.09
Hotels and Restaurants,Q2 2014,0.11
Hotels and Restaurants,Q2 2015,0.07
Hotels and Restaurants,Q2 2016,0.05
Hotels and Restaurants,Q2 2017,0.06
Hotels and Restaurants,Q2 2018,0.09
Hotels and Restaurants,Q2 2019,0.09
"Agriculture, Hunting and Forestry; Fishing",Q2 2014,0.09
"Agriculture, Hunting and Forestry; Fishing",Q2 2015,0.05
"Agriculture, Hunting and Forestry; Fishing",Q2 2016,0.13
"Agriculture, Hunting and Forestry; Fishing",Q2 2017,0.09
"Agriculture, Hunting and Forestry; Fishing",Q2 2018,0.11
"Agriculture, Hunting and Forestry; Fishing",Q2 2019,0.07
