Year,Channel,Value market share
2009,Supermarkets & hypermarkets,0.758
2009,Discounters,0.166
2010,Supermarkets & hypermarkets,0.759
2010,Discounters,0.165
2011,Supermarkets & hypermarkets,0.755
2011,Discounters,0.162
2012,Supermarkets & hypermarkets,0.755
2012,Discounters,0.155
2013,Supermarkets & hypermarkets,0.745
2013,Discounters,0.147
2014,Supermarkets & hypermarkets,0.748
2014,Discounters,0.136
2015,Supermarkets & hypermarkets,0.747
2015,Discounters,0.134
2016,Supermarkets & hypermarkets,0.751
2016,Discounters,0.123
2017,Supermarkets & hypermarkets,0.75
2017,Discounters,0.117
2018,Supermarkets & hypermarkets,0.737
2018,Discounters,0.119
