Year,Market Type,Value in billion U.S. dollars
2011,Digital market,5.3
2011,Package market,22.4
2012,Digital market,7.1
2012,Package market,18.4
2013,Digital market,7.4
2013,Package market,16.3
2014,Digital market,8.7
2014,Package market,12.9
2015,Digital market,9.3
2015,Package market,12.4
2016,Digital market,10.3
2016,Package market,10.9
2017,Digital market,13.2
2017,Package market,11.2
2018,Digital market,19
2018,Package market,10.9
2019,Digital market,21.7
2019,Package market,13.4
2020,Digital market,25.4
2020,Package market,11.8
2021,Digital market,30.2
2021,Package market,12.4
2022,Digital market,34.4
2022,Package market,13
