Item,Respondent Group,Share of respondents
Whether our IT infrastructure will cope with extra working from home,Provider,0.35
Whether our IT infrastructure will cope with extra working from home,Enterprises,0.51
Whether we have the support resources in place to manage the wellness of our teams,Provider,0.46
Whether we have the support resources in place to manage the wellness of our teams,Enterprises,0.63
Whether we can source the necessary equipment,Provider,0.38
Whether we can source the necessary equipment,Enterprises,0.62
Whether we have the management structure in place to manage decentralized teams,Provider,0.25
Whether we have the management structure in place to manage decentralized teams,Enterprises,0.42
Whether we have the financial reserves to last us until the situation is clear,Provider,0.46
Whether we have the financial reserves to last us until the situation is clear,Enterprises,0.58
Whether local broadband infrastructure is good enough to sustain working from home during the crisis,Provider,0.53
Whether local broadband infrastructure is good enough to sustain working from home during the crisis,Enterprises,0.64
