Response Category,Region,Share of respondents
Too soon,North,0.5
Too soon,Midlands,0.47
Too soon,East,0.47
Too soon,London,0.48
Too soon,South,0.47
Too soon,England (NET),0.48
Too soon,Wales,0.48
Too soon,Scotland,0.52
About the right time,North,0.26
About the right time,Midlands,0.29
About the right time,East,0.28
About the right time,London,0.22
About the right time,South,0.29
About the right time,England (NET),0.27
About the right time,Wales,0.23
About the right time,Scotland,0.18
Too late,North,0.03
Too late,Midlands,0.01
Too late,East,0.03
Too late,London,0.03
Too late,South,0.02
Too late,England (NET),0.02
Too late,Wales,0.03
Too late,Scotland,0.02
Don't know,North,0.21
Don't know,Midlands,0.23
Don't know,East,0.23
Don't know,London,0.27
Don't know,South,0.22
Don't know,England (NET),0.23
Don't know,Wales,0.26
Don't know,Scotland,0.28
