Category,Response,Percentage of respondents
Family,Very likely,0.05
Family,Somewhat likely,0.08
Family,Somewhat unlikely,0.24
Family,Very unlikely,0.44
Family,Don't know/no opinion,0.19
Local community,Very likely,0.06
Local community,Somewhat likely,0.18
Local community,Somewhat unlikely,0.28
Local community,Very unlikely,0.29
Local community,Don't know/no opinion,0.19
State,Very likely,0.18
State,Somewhat likely,0.29
State,Somewhat unlikely,0.19
State,Very unlikely,0.16
State,Don't know/no opinion,0.18
