Year,Grade,Percentage_of_Respondents
2009,8th grade,0.02
2009,10th grade,0.057
2009,12th grade,0.054
2010,8th grade,0.023
2010,10th grade,0.053
2010,12th grade,0.065
2011,8th grade,0.017
2011,10th grade,0.046
2011,12th grade,0.065
2012,8th grade,0.017
2012,10th grade,0.045
2012,12th grade,0.076
2013,8th grade,0.018
2013,10th grade,0.044
2013,12th grade,0.074
2014,8th grade,0.013
2014,10th grade,0.046
2014,12th grade,0.068
2015,8th grade,0.01
2015,10th grade,0.052
2015,12th grade,0.075
2016,8th grade,0.015
2016,10th grade,0.042
2016,12th grade,0.062
2017,8th grade,0.013
2017,10th grade,0.04
2017,12th grade,0.055
2018,8th grade,0.018
2018,10th grade,0.041
2018,12th grade,0.046
2019,8th grade,0.025
2019,10th grade,0.031
2019,12th grade,0.039
2020,8th grade,0.027
2020,10th grade,0.029
2020,12th grade,0.044
