Year,Sector,Revenue_Million_Euros
2014,Healthcare,6621
2014,Life Science,2683
2014,Performance Materials,2060
2015,Healthcare,6934
2015,Life Science,3355
2015,Performance Materials,2556
2016,Healthcare,6855
2016,Life Science,5658
2016,Performance Materials,2511
2017,Healthcare,6999
2017,Life Science,5882
2017,Performance Materials,2446
2018,Healthcare,6246
2018,Life Science,6185
2018,Performance Materials,2406
2019,Healthcare,6715
2019,Life Science,6864
2019,Performance Materials,2574
2020,Healthcare,6639
2020,Life Science,7515
2020,Performance Materials,3380
