Sector,Intent,Share_of_Respondents
Education,Spend more,0.25
Education,Spend less,0.15
Education,No change,0.38
Education,Unsure,0.22
Financial services & accounting,Spend more,0.17
Financial services & accounting,Spend less,0.22
Financial services & accounting,No change,0.46
Financial services & accounting,Unsure,0.15
IT & computer software,Spend more,0.12
IT & computer software,Spend less,0.18
IT & computer software,No change,0.49
IT & computer software,Unsure,0.2
Marketing & advertising,Spend more,0.17
Marketing & advertising,Spend less,0.24
Marketing & advertising,No change,0.37
Marketing & advertising,Unsure,0.22
Medical & health care,Spend more,0.17
Medical & health care,Spend less,0.21
Medical & health care,No change,0.44
Medical & health care,Unsure,0.17
