Type,Trust,Share of respondents
School,5 - Much trust,8
School,4,21
School,3,32
School,2,16
School,1 - Very low,7
Government,5 - Much trust,11
Government,4,21
Government,3,27
Government,2,18
Government,1 - Very low,19
Ministry of Foreign Affairs,5 - Much trust,13
Ministry of Foreign Affairs,4,24
Ministry of Foreign Affairs,3,26
Ministry of Foreign Affairs,2,15
Ministry of Foreign Affairs,1 - Very low,11
Employer,5 - Much trust,15
Employer,4,18
Employer,3,21
Employer,2,5
Employer,1 - Very low,5
Swedish Civil Contingencies Agency,5 - Much trust,17
Swedish Civil Contingencies Agency,4,27
Swedish Civil Contingencies Agency,3,24
Swedish Civil Contingencies Agency,2,10
Swedish Civil Contingencies Agency,1 - Very low,12
Public Health Agency of Sweden,5 - Much trust,19
Public Health Agency of Sweden,4,29
Public Health Agency of Sweden,3,23
Public Health Agency of Sweden,2,13
Public Health Agency of Sweden,1 - Very low,11
Health Care,5 - Much trust,26
Health Care,4,33
Health Care,3,27
Health Care,2,7
Health Care,1 - Very low,6
