Year,Team,Pay in thousand US dollars
2020,Winning team,130
2020,Losing team,65
2021,Winning team,150
2021,Losing team,75
2022,Winning team,157
2022,Losing team,82
2023,Winning team,164
2023,Losing team,89
2024,Winning team,171
2024,Losing team,96
2025,Winning team,178
2025,Losing team,103
2026,Winning team,188
2026,Losing team,113
2027,Winning team,198
2027,Losing team,123
2028,Winning team,208
2028,Losing team,133
2029,Winning team,218
2029,Losing team,143
2030,Winning team,228
2030,Losing team,153
