Year,Revenue_Type,Revenue_Million_USD
2009,Commercial,86.77
2009,Broadcasting,128.9
2009,Matchday,150.57
2010,Commercial,101.69
2010,Broadcasting,135.83
2010,Matchday,139.17
2011,Commercial,135.95
2011,Broadcasting,154.2
2011,Matchday,145.74
2012,Commercial,154.67
2012,Broadcasting,136.76
2012,Matchday,129.83
2013,Commercial,200.48
2013,Broadcasting,133.66
2013,Matchday,143.51
2014,Commercial,248.96
2014,Broadcasting,178.6
2014,Matchday,142.17
2015,Commercial,258.95
2015,Broadcasting,141.64
2015,Matchday,119.15
2016,Commercial,352.88
2016,Broadcasting,184.7
2016,Matchday,140.18
2017,Commercial,362.28
2017,Broadcasting,255.27
2017,Matchday,146.82
2018,Commercial,363.11
2018,Broadcasting,268.47
2018,Matchday,144.39
2019,Commercial,349.34
2019,Broadcasting,306.32
2019,Matchday,140.73
2020,Commercial,345.13
2020,Broadcasting,173.41
2020,Matchday,111.06
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
