Problem,Severity,Share_of_Respondents
Anxiety and depression,Major problem,0.7
Anxiety and depression,Minor problem,0.26
Anxiety and depression,Not a problem,0.04
Bullying,Major problem,0.55
Bullying,Minor problem,0.35
Bullying,Not a problem,0.1
Drug addiction,Major problem,0.51
Drug addiction,Minor problem,0.35
Drug addiction,Not a problem,0.13
Drinking alcohol,Major problem,0.45
Drinking alcohol,Minor problem,0.39
Drinking alcohol,Not a problem,0.16
Poverty,Major problem,0.4
Poverty,Minor problem,0.47
Poverty,Not a problem,0.13
Teen pregnancy,Major problem,0.34
Teen pregnancy,Minor problem,0.44
Teen pregnancy,Not a problem,0.21
Gangs,Major problem,0.33
Gangs,Minor problem,0.38
Gangs,Not a problem,0.29
