Year,Age_Group,Share_of_Total_Population
2009,0–14 years,0.2542
2009,15–64 years,0.6731
2009,65 years and older,0.0726
2010,0–14 years,0.2538
2010,15–64 years,0.6719
2010,65 years and older,0.0743
2011,0–14 years,0.2525
2011,15–64 years,0.6696
2011,65 years and older,0.0778
2012,0–14 years,0.2515
2012,15–64 years,0.6668
2012,65 years and older,0.0817
2013,0–14 years,0.2505
2013,15–64 years,0.6637
2013,65 years and older,0.0858
2014,0–14 years,0.2493
2014,15–64 years,0.6608
2014,65 years and older,0.0899
2015,0–14 years,0.2477
2015,15–64 years,0.6584
2015,65 years and older,0.0939
2016,0–14 years,0.2459
2016,15–64 years,0.6564
2016,65 years and older,0.0977
2017,0–14 years,0.2441
2017,15–64 years,0.6547
2017,65 years and older,0.1012
2018,0–14 years,0.242
2018,15–64 years,0.6533
2018,65 years and older,0.1047
2019,0–14 years,0.2396
2019,15–64 years,0.652
2019,65 years and older,0.1084
