Year,Country_Region,Revenue_Million_USD
2016,China,1471.18
2016,Malaysia,302.95
2016,Philippines,211.6
2016,Thailand,189.3
2016,United States,60.12
2016,Japan,0
2016,Others,367.34
2017,China,1224.03
2017,Malaysia,286.27
2017,Philippines,283.35
2017,Thailand,113.78
2017,United States,51.42
2017,Japan,0
2017,Others,342.15
2018,China,1205.2
2018,Malaysia,388.47
2018,Philippines,270.1
2018,Thailand,157.86
2018,United States,42.56
2018,Japan,0
2018,Others,365.18
2019,China,1189.93
2019,Malaysia,372.82
2019,Philippines,235.92
2019,Thailand,165.92
2019,United States,251.91
2019,Japan,162.77
2019,Others,486.53
2020,China,1071.03
2020,Malaysia,226.36
2020,Philippines,221.57
2020,Thailand,230.22
2020,United States,258.83
2020,Japan,162.4
2020,Others,528.77
2021,China,1268.82
2021,Malaysia,254.05
2021,Philippines,166.73
2021,Thailand,251.41
2021,United States,321.45
2021,Japan,142.55
2021,Others,563.88
