Season,Revenue_Type,Revenue_Million_Euros
2008/09,Matchday,46.3
2008/09,Broadcasting,52.6
2008/09,Commercial,33.8
2009/10,Matchday,44.9
2009/10,Broadcasting,62.9
2009/10,Commercial,38.5
2010/11,Matchday,47.9
2010/11,Broadcasting,92
2010/11,Commercial,41.1
2011/12,Matchday,50.8
2011/12,Broadcasting,76.1
2011/12,Commercial,51.3
2012/13,Matchday,46.9
2012/13,Broadcasting,72.7
2012/13,Commercial,52.4
2013/14,Matchday,52.5
2013/14,Broadcasting,113.3
2013/14,Commercial,50
2014/15,Matchday,54.2
2014/15,Broadcasting,125.2
2014/15,Commercial,78.1
2015/16,Matchday,54.6
2015/16,Broadcasting,147.6
2015/16,Commercial,77.5
2016/17,Matchday,52.7
2016/17,Broadcasting,219
2016/17,Commercial,83.9
2017/18,Matchday,85.2
2017/18,Broadcasting,226.6
2017/18,Commercial,116.5
2018/19,Matchday,92.5
2018/19,Broadcasting,276.7
2018/19,Commercial,151.9
