Year,Sector,Share_of_GDP
2009,Agriculture,0.3132
2009,Industry,0.1507
2009,Services,0.4861
2010,Agriculture,0.3318
2010,Industry,0.142
2010,Services,0.464
2011,Agriculture,0.3498
2011,Industry,0.1411
2011,Services,0.4529
2012,Agriculture,0.3315
2012,Industry,0.141
2012,Services,0.4687
2013,Agriculture,0.3153
2013,Industry,0.1415
2013,Services,0.4755
2014,Agriculture,0.3027
2014,Industry,0.1383
2014,Services,0.4865
2015,Agriculture,0.2938
2015,Industry,0.1372
2015,Services,0.4946
2016,Agriculture,0.2915
2016,Industry,0.131
2016,Services,0.4996
2017,Agriculture,0.2708
2017,Industry,0.1324
2017,Services,0.5102
2018,Agriculture,0.2576
2018,Industry,0.1341
2018,Services,0.51
2019,Agriculture,0.2426
2019,Industry,0.133
2019,Services,0.5061
