Season,Revenue_Type,Revenue_Million_Euros
2009/10,Matchday,129.1
2009/10,Broadcasting,158.7
2009/10,Commercial,150.8
2010/11,Matchday,123.6
2010/11,Broadcasting,183.5
2010/11,Commercial,172.4
2011/12,Matchday,126.2
2011/12,Broadcasting,199.2
2011/12,Commercial,187.2
2012/13,Matchday,119
2012/13,Broadcasting,188.3
2012/13,Commercial,211.6
2013/14,Matchday,113.8
2013/14,Broadcasting,204.2
2013/14,Commercial,231.5
2014/15,Matchday,129.8
2014/15,Broadcasting,199.9
2014/15,Commercial,247.3
2015/16,Matchday,129
2015/16,Broadcasting,227.7
2015/16,Commercial,263.4
2016/17,Matchday,136.4
2016/17,Broadcasting,236.8
2016/17,Commercial,301.4
2017/18,Matchday,143.4
2017/18,Broadcasting,251.3
2017/18,Commercial,356.2
2018/19,Matchday,144.8
2018/19,Broadcasting,257.9
2018/19,Commercial,354.6
2019/20,Matchday,108.2
2019/20,Broadcasting,224
2019/20,Commercial,359.6
