Period,Country,Share_of_Import_Value
2014,UK,0.084
2014,U.S.,0.15
2014,France,0.368
2014,South Korea,0.106
2014,Japan,0.163
2015,UK,0.061
2015,U.S.,0.111
2015,France,0.285
2015,South Korea,0.245
2015,Japan,0.161
2016,UK,0.068
2016,U.S.,0.099
2016,France,0.251
2016,South Korea,0.287
2016,Japan,0.173
2017,UK,0.05
2017,U.S.,0.098
2017,France,0.21
2017,South Korea,0.288
2017,Japan,0.221
2018,UK,0.047
2018,U.S.,0.093
2018,France,0.177
2018,South Korea,0.288
2018,Japan,0.247
Jan-Oct 2019,UK,0.057
Jan-Oct 2019,U.S.,0.097
Jan-Oct 2019,France,0.187
Jan-Oct 2019,South Korea,0.252
Jan-Oct 2019,Japan,0.255
