Year,Sector,Revenue_Million_Euros
2016,Global Performance Nutrition,1007.5
2016,Global Nutritionals,1224.2
2016,Joint Ventures & Associates,820.8
2017,Global Performance Nutrition,1121.1
2017,Global Nutritionals,1266
2017,Joint Ventures & Associates,1093.4
2018,Global Performance Nutrition,1179.6
2018,Global Nutritionals,1990.9
2018,Joint Ventures & Associates,1263.8
2019,Global Performance Nutrition,1363.8
2019,Global Nutritionals,2511.9
2019,Joint Ventures & Associates,1476.1
2020,Global Performance Nutrition,1138
2020,Global Nutritionals,2685.1
2020,Joint Ventures & Associates,0
