Year,Sector,Share_of_GDP
2008,Agriculture,0.0785
2008,Industry,0.3145
2008,Services,0.536
2009,Agriculture,0.083
2009,Industry,0.2777
2009,Services,0.5514
2010,Agriculture,0.0753
2010,Industry,0.2898
2010,Services,0.5668
2011,Agriculture,0.0853
2011,Industry,0.2981
2011,Services,0.5636
2012,Agriculture,0.0909
2012,Industry,0.2964
2012,Services,0.5657
2013,Agriculture,0.0889
2013,Industry,0.2877
2013,Services,0.5866
2014,Agriculture,0.0915
2014,Industry,0.2688
2014,Services,0.5817
2015,Agriculture,0.1028
2015,Industry,0.2498
2015,Services,0.5736
2016,Agriculture,0.0939
2016,Industry,0.2399
2016,Services,0.5838
2017,Agriculture,0.0969
2017,Industry,0.2315
2017,Services,0.5925
2018,Agriculture,0.104
2018,Industry,0.2274
2018,Services,0.5923
