Year,Asset Size,Market share
2008,0 – 500 million U.S. dollars,23.4
2008,"501 – 2,000 million U.S. dollars",19.3
2008,"2,001 – 10,000 million U.S. dollars",27.9
2008,"Over 10,001 million U.S. dollars",29.4
2009,0 – 500 million U.S. dollars,22.5
2009,"501 – 2,000 million U.S. dollars",20.5
2009,"2,001 – 10,000 million U.S. dollars",27.5
2009,"Over 10,001 million U.S. dollars",29.6
2010,0 – 500 million U.S. dollars,24.8
2010,"501 – 2,000 million U.S. dollars",27.5
2010,"2,001 – 10,000 million U.S. dollars",32.3
2010,"Over 10,001 million U.S. dollars",15.4
2011,0 – 500 million U.S. dollars,24.8
2011,"501 – 2,000 million U.S. dollars",26.3
2011,"2,001 – 10,000 million U.S. dollars",33.9
2011,"Over 10,001 million U.S. dollars",15
2012,0 – 500 million U.S. dollars,23.2
2012,"501 – 2,000 million U.S. dollars",28.3
2012,"2,001 – 10,000 million U.S. dollars",30.6
2012,"Over 10,001 million U.S. dollars",17.9
