Country_Region,Opinion,Share_of_Respondents
Mexico,Approves,0.54
Mexico,Disapproves,0.4
Mexico,No answer,0.06
Central America & Caribbean,Approves,0.33
Central America & Caribbean,Disapproves,0.49
Central America & Caribbean,No answer,0.18
Bolivia,Approves,0.3
Bolivia,Disapproves,0.55
Bolivia,No answer,0.15
Argentina,Approves,0.27
Argentina,Disapproves,0.47
Argentina,No answer,0.26
Brazil,Approves,0.19
Brazil,Disapproves,0.58
Brazil,No answer,0.23
Peru,Approves,0.17
Peru,Disapproves,0.71
Peru,No answer,0.12
Chile,Approves,0.16
Chile,Disapproves,0.68
Chile,No answer,0.16
Ecuador,Approves,0.08
Ecuador,Disapproves,0.8
Ecuador,No answer,0.12
Colombia,Approves,0.06
Colombia,Disapproves,0.74
Colombia,No answer,0.2
