Year,Age Group,Share of total population
2009,0–14 years,35.21
2009,15–64 years,61.5
2009,65 years and older,3.29
2010,0–14 years,34.97
2010,15–64 years,61.71
2010,65 years and older,3.32
2011,0–14 years,34.88
2011,15–64 years,61.69
2011,65 years and older,3.42
2012,0–14 years,34.88
2012,15–64 years,61.6
2012,65 years and older,3.52
2013,0–14 years,34.91
2013,15–64 years,61.47
2013,65 years and older,3.62
2014,0–14 years,34.93
2014,15–64 years,61.35
2014,65 years and older,3.72
2015,0–14 years,34.92
2015,15–64 years,61.25
2015,65 years and older,3.84
2016,0–14 years,34.71
2016,15–64 years,61.33
2016,65 years and older,3.96
2017,0–14 years,34.44
2017,15–64 years,61.47
2017,65 years and older,4.09
2018,0–14 years,34.11
2018,15–64 years,61.66
2018,65 years and older,4.22
2019,0–14 years,33.76
2019,15–64 years,61.87
2019,65 years and older,4.37
