Year,Apparel_Item,Share_of_Revenue
2013,Women's apparel,0.55
2013,Men's apparel,0.22
2013,Children's apparel,0.06
2013,Accessories,0.17
2014,Women's apparel,0.54
2014,Men's apparel,0.23
2014,Children's apparel,0.07
2014,Accessories,0.16
2015,Women's apparel,0.53
2015,Men's apparel,0.24
2015,Children's apparel,0.07
2015,Accessories,0.16
2016,Women's apparel,0.54
2016,Men's apparel,0.24
2016,Children's apparel,0.07
2016,Accessories,0.15
2017,Women's apparel,0.55
2017,Men's apparel,0.23
2017,Children's apparel,0.07
2017,Accessories,0.15
2018,Women's apparel,0.57
2018,Men's apparel,0.21
2018,Children's apparel,0.07
2018,Accessories,0.15
