Age Group,Response,Share of respondents
18–29,Much more likely,6
18–29,Somewhat more likely,12
18–29,Neither more nor less likely,45
18–29,Somewhat less likely,18
18–29,Much less likely,9
18–29,Don't know/ No opinion,9
30–44,Much more likely,10
30–44,Somewhat more likely,13
30–44,Neither more nor less likely,48
30–44,Somewhat less likely,12
30–44,Much less likely,12
30–44,Don't know/ No opinion,6
45–54,Much more likely,5
45–54,Somewhat more likely,13
45–54,Neither more nor less likely,55
45–54,Somewhat less likely,11
45–54,Much less likely,12
45–54,Don't know/ No opinion,4
55–64,Much more likely,7
55–64,Somewhat more likely,11
55–64,Neither more nor less likely,59
55–64,Somewhat less likely,12
55–64,Much less likely,8
55–64,Don't know/ No opinion,3
65+,Much more likely,9
65+,Somewhat more likely,13
65+,Neither more nor less likely,57
65+,Somewhat less likely,15
65+,Much less likely,6
65+,Don't know/ No opinion,1
