Year,Region,Market_Size_Billion_USD
2013,Americas,8.82
2013,Europe,1.96
2013,Japan,2.09
2013,Asia Pacific,13.29
2014,Americas,9.16
2014,Europe,1.99
2014,Japan,1.54
2014,Asia Pacific,13.47
2015,Americas,12.17
2015,Europe,1.55
2015,Japan,1.65
2015,Asia Pacific,15.78
2016,Americas,13.35
2016,Europe,1.42
2016,Japan,1.89
2016,Asia Pacific,19.63
2017,Americas,18.7
2017,Europe,1.96
2017,Japan,2.64
2017,Asia Pacific,28.37
2018,Americas,20.21
2018,Europe,2.1
2018,Japan,2.84
2018,Asia Pacific,31.61
2019,Americas,21.44
2019,Europe,2.14
2019,Japan,3
2019,Asia Pacific,34.67
2020,Americas,20.67
2020,Europe,2.04
2020,Japan,2.89
2020,Asia Pacific,34.5
2021,Americas,21.78
2021,Europe,2.18
2021,Japan,3.08
2021,Asia Pacific,37.2
