Year,Product Category,Revenue in million U.S. dollars
2014,Titleist golf balls,543.84
2014,Titleist golf clubs,422.38
2014,Titleist golf gear,127.88
2014,Footjoy golf wear,421.63
2015,Titleist golf balls,535.47
2015,Titleist golf clubs,388.3
2015,Titleist golf gear,129.41
2015,Footjoy golf wear,418.85
2016,Titleist golf balls,513.9
2016,Titleist golf clubs,430.97
2016,Titleist golf gear,136.21
2016,Footjoy golf wear,433.06
2017,Titleist golf balls,512.04
2017,Titleist golf clubs,397.99
2017,Titleist golf gear,142.91
2017,Footjoy golf wear,437.46
2018,Titleist golf balls,523.97
2018,Titleist golf clubs,445.34
2018,Titleist golf gear,146.07
2018,Footjoy golf wear,439.68
2019,Titleist golf balls,551.6
2019,Titleist golf clubs,434.4
2019,Titleist golf gear,150
2019,Footjoy golf wear,441.9
2020,Titleist golf balls,507.8
2020,Titleist golf clubs,418.4
2020,Titleist golf gear,149.4
2020,Footjoy golf wear,415.3
