Year,Sector,Share of total employment
2010,Agriculture,14.25
2010,Industry,27.45
2010,Services,58.29
2011,Agriculture,14.59
2011,Industry,27.95
2011,Services,57.46
2012,Agriculture,12.25
2012,Industry,27.91
2012,Services,59.84
2013,Agriculture,10.79
2013,Industry,27.53
2013,Services,61.59
2014,Agriculture,9.52
2014,Industry,26.98
2014,Services,63.5
2015,Agriculture,9.23
2015,Industry,26.71
2015,Services,64.06
2016,Agriculture,7.6
2016,Industry,26.97
2016,Services,65.42
2017,Agriculture,6.98
2017,Industry,26.42
2017,Services,66.61
2018,Agriculture,6.24
2018,Industry,27.42
2018,Services,66.34
2019,Agriculture,5.96
2019,Industry,27.49
2019,Services,66.55
2020,Agriculture,5.75
2020,Industry,27.47
2020,Services,66.78
