Country,Group,Percent
Worldwide,Disagree,13
Prosumers,Disagree,13
Mainstream,Disagree,13
United States,Disagree,18
United Kingdom,Disagree,17
France,Disagree,15
China,Disagree,6
India,Disagree,9
Worldwide,Neither,29
Prosumers,Neither,18
Mainstream,Neither,31
United States,Neither,30
United Kingdom,Neither,36
France,Neither,33
China,Neither,25
India,Neither,21
Worldwide,Agree,58
Prosumers,Agree,69
Mainstream,Agree,56
United States,Agree,52
United Kingdom,Agree,47
France,Agree,52
China,Agree,68
India,Agree,71
