Year,Party_Advantage,Number_of_States
2018,Solid Democrat,14
2018,Lean Democrat,8
2018,Competitive,10
2018,Lean Republican,5
2018,Solid Republican,13
2017,Solid Democrat,15
2017,Lean Democrat,4
2017,Competitive,15
2017,Lean Republican,3
2017,Solid Republican,13
2016,Solid Democrat,13
2016,Lean Democrat,1
2016,Competitive,15
2016,Lean Republican,7
2016,Solid Republican,14
2015,Solid Democrat,11
2015,Lean Democrat,3
2015,Competitive,16
2015,Lean Republican,8
2015,Solid Republican,12
2014,Solid Democrat,11
2014,Lean Democrat,6
2014,Competitive,18
2014,Lean Republican,5
2014,Solid Republican,10
2013,Solid Democrat,12
2013,Lean Democrat,5
2013,Competitive,19
2013,Lean Republican,2
2013,Solid Republican,12
2012,Solid Democrat,13
2012,Lean Democrat,6
2012,Competitive,19
2012,Lean Republican,3
2012,Solid Republican,9
2011,Solid Democrat,11
2011,Lean Democrat,7
2011,Competitive,15
2011,Lean Republican,7
2011,Solid Republican,10
2010,Solid Democrat,13
2010,Lean Democrat,9
2010,Competitive,18
2010,Lean Republican,5
2010,Solid Republican,5
2009,Solid Democrat,23
2009,Lean Democrat,10
2009,Competitive,12
2009,Lean Republican,1
2009,Solid Republican,4
2008,Solid Democrat,29
2008,Lean Democrat,6
2008,Competitive,10
2008,Lean Republican,1
2008,Solid Republican,4
