Year,Sector,Share_of_GDP
2010,Agriculture,0.093
2010,Industry,0.465
2010,Services,0.442
2011,Agriculture,0.092
2011,Industry,0.465
2011,Services,0.443
2012,Agriculture,0.091
2012,Industry,0.454
2012,Services,0.455
2013,Agriculture,0.089
2013,Industry,0.442
2013,Services,0.469
2014,Agriculture,0.086
2014,Industry,0.431
2014,Services,0.483
2015,Agriculture,0.084
2015,Industry,0.408
2015,Services,0.508
2016,Agriculture,0.081
2016,Industry,0.396
2016,Services,0.524
2017,Agriculture,0.075
2017,Industry,0.399
2017,Services,0.527
2018,Agriculture,0.07
2018,Industry,0.397
2018,Services,0.533
2019,Agriculture,0.071
2019,Industry,0.39
2019,Services,0.539
2020,Agriculture,0.077
2020,Industry,0.378
2020,Services,0.545
