Year,Product Segment,Revenue in million Euros
2010,Personal care,13767
2010,Home care,7726
2010,Foods and refreshment,22769
2011,Personal care,15471
2011,Home care,8206
2011,Foods and refreshment,22790
2012,Personal care,18097
2012,Home care,9057
2012,Foods and refreshment,24170
2013,Personal care,18056
2013,Home care,8946
2013,Foods and refreshment,22795
2014,Personal care,17739
2014,Home care,9164
2014,Foods and refreshment,21533
2015,Personal care,20074
2015,Home care,10159
2015,Foods and refreshment,23039
2016,Personal care,20172
2016,Home care,10009
2016,Foods and refreshment,22532
2017,Personal care,20697
2017,Home care,10574
2017,Foods and refreshment,22444
2018,Personal care,20624
2018,Home care,10131
2018,Foods and refreshment,20227
2019,Personal care,21868
2019,Home care,10825
2019,Foods and refreshment,19287
2020,Personal care,21124
2020,Home care,10460
2020,Foods and refreshment,19140
