Age_Group,Crisp_Flavor,Share_of_Respondents
18–24,None of these,0.12
18–24,Prawn cocktail,0.26
18–24,Salt and vinegar,0.22
18–24,Ready salted,0.18
18–24,Cheese and onion,0.23
25–39,None of these,0.06
25–39,Prawn cocktail,0.17
25–39,Salt and vinegar,0.35
25–39,Ready salted,0.17
25–39,Cheese and onion,0.25
40–59,None of these,0.06
40–59,Prawn cocktail,0.08
40–59,Salt and vinegar,0.24
40–59,Ready salted,0.22
40–59,Cheese and onion,0.4
60 +,None of these,0.09
60 +,Prawn cocktail,0.04
60 +,Salt and vinegar,0.11
60 +,Ready salted,0.49
60 +,Cheese and onion,0.27
