Royal_Figure,Perception,Share_of_Respondents
"Meghan, Duchess of Sussex",Overly critical,0.5
"Meghan, Duchess of Sussex",Don't know,0.17
"Meghan, Duchess of Sussex",Fair and balanced,0.25
"Meghan, Duchess of Sussex",Overly favourable,0.09
Prince Harry,Overly critical,0.44
Prince Harry,Don't know,0.17
Prince Harry,Fair and balanced,0.3
Prince Harry,Overly favourable,0.09
Prince Andrew,Overly critical,0.17
Prince Andrew,Don't know,0.26
Prince Andrew,Fair and balanced,0.39
Prince Andrew,Overly favourable,0.18
Prince Philip,Overly critical,0.08
Prince Philip,Don't know,0.17
Prince Philip,Fair and balanced,0.55
Prince Philip,Overly favourable,0.2
Prince William,Overly critical,0.07
Prince William,Don't know,0.15
Prince William,Fair and balanced,0.51
Prince William,Overly favourable,0.27
"Catherine, Duchess of Cambridge",Overly critical,0.05
"Catherine, Duchess of Cambridge",Don't know,0.21
"Catherine, Duchess of Cambridge",Fair and balanced,0.44
"Catherine, Duchess of Cambridge",Overly favourable,0.29
Queen Elizabeth II,Overly critical,0.04
Queen Elizabeth II,Don't know,0.15
Queen Elizabeth II,Fair and balanced,0.55
Queen Elizabeth II,Overly favourable,0.26
