Year,Mart,Net sales in billion US dollars
2008,Walmart US,238.92
2008,Walmart International,90.57
2008,Sam's Club,44.34
2009,Walmart US,256.97
2009,Walmart International,96.14
2009,Sam's Club,47.98
2010,Walmart US,259.92
2010,Walmart International,97.41
2010,Sam's Club,47.81
2011,Walmart US,260.26
2011,Walmart International,109.23
2011,Sam's Club,49.46
2012,Walmart US,264.19
2012,Walmart International,125.44
2012,Sam's Club,53.8
2013,Walmart US,274.43
2013,Walmart International,134.75
2013,Sam's Club,56.42
2014,Walmart US,291.41
2014,Walmart International,136.51
2014,Sam's Club,57.16
2015,Walmart US,288.05
2015,Walmart International,136.16
2015,Sam's Club,58.02
2016,Walmart US,298.38
2016,Walmart International,123.41
2016,Sam's Club,56.83
2017,Walmart US,307.83
2017,Walmart International,116.12
2017,Sam's Club,57.37
2018,Walmart US,318.48
2018,Walmart International,118.07
2018,Sam's Club,59.22
2019,Walmart US,331.67
2019,Walmart International,120.82
2019,Sam's Club,57.84
2020,Walmart US,341
2020,Walmart International,120.13
2020,Sam's Club,58.79
2021,Walmart US,369.96
2021,Walmart International,121.36
2021,Sam's Club,63.91
