Country,Opinion,Percentage
Poland,Increase,52
Poland,Keep the same,37
Poland,Decrease,3
Netherlands,Increase,49
Netherlands,Keep the same,38
Netherlands,Decrease,9
UK,Increase,43
UK,Keep the same,41
UK,Decrease,14
U.S.,Increase,35
U.S.,Keep the same,40
U.S.,Decrease,24
Germany,Increase,34
Germany,Keep the same,47
Germany,Decrease,17
France,Increase,32
France,Keep the same,52
France,Decrease,14
Canada,Increase,31
Canada,Keep the same,52
Canada,Decrease,13
Hungary,Increase,30
Hungary,Keep the same,52
Hungary,Decrease,12
Greece,Increase,27
Greece,Keep the same,47
Greece,Decrease,23
Italy,Increase,26
Italy,Keep the same,45
Italy,Decrease,23
Spain,Increase,14
Spain,Keep the same,52
Spain,Decrease,33
