Year,Division,Revenue in million euros
2015,Entertainment division,514.5
2015,Enterprise division,300.4
2015,Healthcare division,216
2016,Entertainment division,578.1
2016,Enterprise division,289.7
2016,Healthcare division,234.6
2017,Entertainment division,482.5
2017,Enterprise division,308.2
2017,Healthcare division,243.2
2018,Entertainment division,408.1
2018,Enterprise division,335.9
2018,Healthcare division,245
2019,Entertainment division,455.1
2019,Enterprise division,358.7
2019,Healthcare division,268.8
2020,Entertainment division,291.4
2020,Enterprise division,216.8
2020,Healthcare division,261.9
