Year,Age Group,Inhabitants in millions
2011,0–19 years,1.35
2011,20–39 years,1.38
2011,40–59 years,1.53
2011,60–79 years,1.07
2011,80 years and older,0.23
2012,0–19 years,1.34
2012,20–39 years,1.38
2012,40–59 years,1.54
2012,60–79 years,1.09
2012,80 years and older,0.23
2013,0–19 years,1.34
2013,20–39 years,1.38
2013,40–59 years,1.54
2013,60–79 years,1.1
2013,80 years and older,0.23
2014,0–19 years,1.33
2014,20–39 years,1.39
2014,40–59 years,1.55
2014,60–79 years,1.13
2014,80 years and older,0.23
2015,0–19 years,1.32
2015,20–39 years,1.4
2015,40–59 years,1.55
2015,60–79 years,1.15
2015,80 years and older,0.24
2016,0–19 years,1.31
2016,20–39 years,1.42
2016,40–59 years,1.56
2016,60–79 years,1.17
2016,80 years and older,0.24
2017,0–19 years,1.31
2017,20–39 years,1.44
2017,40–59 years,1.56
2017,60–79 years,1.19
2017,80 years and older,0.25
2018,0–19 years,1.31
2018,20–39 years,1.46
2018,40–59 years,1.56
2018,60–79 years,1.2
2018,80 years and older,0.26
2019,0–19 years,1.3
2019,20–39 years,1.47
2019,40–59 years,1.56
2019,60–79 years,1.21
2019,80 years and older,0.26
2020,0–19 years,1.3
2020,20–39 years,1.47
2020,40–59 years,1.56
2020,60–79 years,1.23
2020,80 years and older,0.27
2021,0–19 years,1.29
2021,20–39 years,1.48
2021,40–59 years,1.55
2021,60–79 years,1.24
2021,80 years and older,0.28
