Season,Source,Revenue in million euros
2008/09,Matchday,24.4
2008/09,Broadcasting,56.7
2008/09,Commercial,21.1
2009/10,Matchday,29.8
2009/10,Broadcasting,66
2009/10,Commercial,57
2010/11,Matchday,29.5
2010/11,Broadcasting,76.1
2010/11,Commercial,64
2011/12,Matchday,38.1
2011/12,Broadcasting,109
2011/12,Commercial,133.5
2012/13,Matchday,46.2
2012/13,Broadcasting,103.1
2012/13,Commercial,166.9
2013/14,Matchday,56.8
2013/14,Broadcasting,159.3
2013/14,Commercial,198.3
2014/15,Matchday,57
2014/15,Broadcasting,178
2014/15,Commercial,228.5
2015/16,Matchday,70.2
2015/16,Broadcasting,215.8
2015/16,Commercial,238.9
2016/17,Matchday,60.4
2016/17,Broadcasting,236.8
2016/17,Commercial,230.5
2017/18,Matchday,63.9
2017/18,Broadcasting,238.8
2017/18,Commercial,265.7
2018/19,Matchday,62.4
2018/19,Broadcasting,287.2
2018/19,Commercial,261
2019/20,Matchday,47.6
2019/20,Broadcasting,217
2019/20,Commercial,284.6
