Year,Film Origin,Share of cinema admissions
2010,American films,48
2010,French films,36
2010,Other countries,16
2011,American films,46
2011,French films,41
2011,Other countries,13
2012,American films,43
2012,French films,40
2012,Other countries,17
2013,American films,54
2013,French films,34
2013,Other countries,12
2014,American films,45
2014,French films,44
2014,Other countries,10
2015,American films,51
2015,French films,36
2015,Other countries,13
2016,American films,53
2016,French films,36
2016,Other countries,11
2017,American films,37.5
2017,French films,48.3
2017,Other countries,14.3
2018,American films,39.5
2018,French films,44.3
2018,Other countries,15.9
2019,American films,34.8
2019,French films,55.7
2019,Other countries,9.6
2020,American films,44.9
2020,French films,40.8
2020,Other countries,14.3
