Region,Car Preference,Share of respondents
London,Used car,68
London,New car,19
London,Don't know,13
South East,Used car,84
South East,New car,10
South East,Don't know,6
South West,Used car,67
South West,New car,15
South West,Don't know,18
Wales,Used car,63
Wales,New car,28
Wales,Don't know,9
East Anglia,Used car,73
East Anglia,New car,14
East Anglia,Don't know,12
East Midlands,Used car,78
East Midlands,New car,13
East Midlands,Don't know,9
West Midlands,Used car,80
West Midlands,New car,10
West Midlands,Don't know,10
Yorks/Humb,Used car,67
Yorks/Humb,New car,10
Yorks/Humb,Don't know,23
North West,Used car,65
North West,New car,20
North West,Don't know,15
North,Used car,62
North,New car,21
North,Don't know,17
Scotland,Used car,70
Scotland,New car,19
Scotland,Don't know,11
