Country,Car Type,Share of respondents
United States,Gasoline or diesel (ICE),74
United States,Hybrid electric (HEV),16
United States,Battery electric (BEV),5
United States,Other,5
India,Gasoline or diesel (ICE),68
India,Hybrid electric (HEV),24
India,Battery electric (BEV),4
India,Other,4
Germany,Gasoline or diesel (ICE),59
Germany,Hybrid electric (HEV),25
Germany,Battery electric (BEV),7
Germany,Other,9
China,Gasoline or diesel (ICE),55
China,Hybrid electric (HEV),29
China,Battery electric (BEV),11
China,Other,5
Japan,Gasoline or diesel (ICE),45
Japan,Hybrid electric (HEV),45
Japan,Battery electric (BEV),7
Japan,Other,3
South Korea,Gasoline or diesel (ICE),43
South Korea,Hybrid electric (HEV),35
South Korea,Battery electric (BEV),11
South Korea,Other,11
