Year,Type,Subscriptions in millions
2010,5G,0
2010,4G,0
2010,3G,950
2010,2G,4450
2011,5G,0
2011,4G,0
2011,3G,1350
2011,2G,4650
2012,5G,0
2012,4G,0
2012,3G,1700
2012,2G,4600
2013,5G,0
2013,4G,200
2013,3G,2250
2013,2G,4250
2014,5G,0
2014,4G,550
2014,3G,2600
2014,2G,3850
2015,5G,0
2015,4G,1100
2015,3G,2650
2015,2G,3400
2016,5G,0
2016,4G,1950
2016,3G,2550
2016,2G,2900
2017,5G,0
2017,4G,2750
2017,3G,2250
2017,2G,2900
2018,5G,0
2018,4G,3650
2018,3G,1800
2018,2G,2450
2019,5G,0
2019,4G,4500
2019,3G,1450
2019,2G,2200
2020,5G,0
2020,4G,5150
2020,3G,1150
2020,2G,2000
2021,5G,100
2021,4G,5700
2021,3G,900
2021,2G,1850
2022,5G,300
2022,4G,6050
2022,3G,750
2022,2G,1650
2023,5G,600
2023,4G,6200
2023,3G,700
2023,2G,1450
