Year,Gender,Percentage of 25 to 29 year olds
1996,Male,23
1996,Female,10
1997,Male,22
1997,Female,10
1998,Male,22
1998,Female,9
1999,Male,22
1999,Female,10
2000,Male,23
2000,Female,10
2001,Male,23
2001,Female,11
2002,Male,21
2002,Female,10
2003,Male,23
2003,Female,10
2004,Male,24
2004,Female,11
2005,Male,23
2005,Female,11
2006,Male,23
2006,Female,11
2007,Male,23
2007,Female,12
2008,Male,24
2008,Female,12
2009,Male,25
2009,Female,12
2010,Male,24
2010,Female,12
2011,Male,24
2011,Female,13
2012,Male,24
2012,Female,13
2013,Male,25
2013,Female,13
2014,Male,27
2014,Female,14
2015,Male,28
2015,Female,15
2016,Male,27
2016,Female,14
2017,Male,30
2017,Female,14
2018,Male,29
2018,Female,15
