Year,Metric,Percentage,
2003,Favorable view of U.S.,83,
2003,Confidence in U.S. president,78,
2004,Favorable view of U.S.,83,
2004,Confidence in U.S. president,78,
2007,Favorable view of U.S.,78,
2007,Confidence in U.S. president,57,
2009,Favorable view of U.S.,71,
2009,Confidence in U.S. president,56,
2010,Favorable view of U.S.,72,
2010,Confidence in U.S. president,49,
2011,Favorable view of U.S.,72,
2011,Confidence in U.S. president,49,
2013,Favorable view of U.S.,83,
2013,Confidence in U.S. president,61,
2014,Favorable view of U.S.,84,
2014,Confidence in U.S. president,71,
2015,Favorable view of U.S.,81,
2015,Confidence in U.S. president,49,
2017,Favorable view of U.S.,81,
2017,Confidence in U.S. president,56,
