Year,Group,Average weight in metric grams
2010,Total,3627
2010,Girls,3580
2010,Boys,3672
2011,Total,3618
2011,Girls,3553
2011,Boys,3677
2012,Total,3604
2012,Girls,3550
2012,Boys,3654
2013,Total,3590
2013,Girls,3531
2013,Boys,3650
2014,Total,3616
2014,Girls,3554
2014,Boys,3675
2015,Total,3599
2015,Girls,3540
2015,Boys,3655
2016,Total,3596
2016,Girls,3538
2016,Boys,3653
2017,Total,3598
2017,Girls,3555
2017,Boys,3638
2018,Total,3596
2018,Girls,3531
2018,Boys,3655
2019,Total,3597
2019,Girls,3534
2019,Boys,3658
2020,Total,3611
2020,Girls,3555
2020,Boys,3661
