Year,Region,Life expectancy in years
2005-2007,Canada,80.5
2005-2007,Newfoundland and Labrador,78.2
2006-2008,Canada,80.7
2006-2008,Newfoundland and Labrador,78.5
2007-2009,Canada,80.8
2007-2009,Newfoundland and Labrador,79
2008-2010,Canada,81.1
2008-2010,Newfoundland and Labrador,79.3
2009-2011,Canada,81.4
2009-2011,Newfoundland and Labrador,79.6
2010-2012,Canada,81.6
2010-2012,Newfoundland and Labrador,79.6
2011-2013,Canada,81.7
2011-2013,Newfoundland and Labrador,79.6
2012-2014,Canada,81.8
2012-2014,Newfoundland and Labrador,79.4
2013-2015,Canada,81.9
2013-2015,Newfoundland and Labrador,79.3
2014-2016,Canada,81.9
2014-2016,Newfoundland and Labrador,79.4
2015-2017,Canada,81.9
2015-2017,Newfoundland and Labrador,79.6
2016-2018,Canada,82
2016-2018,Newfoundland and Labrador,79.8
2017-2019,Canada,82.1
2017-2019,Newfoundland and Labrador,80
