Year,Favorability_Direction,Favorable_View_Percentage
2007,U.S. favorability in Russia,41
2007,Russia favorability in U.S.,44
2009,U.S. favorability in Russia,44
2009,Russia favorability in U.S.,43
2010,U.S. favorability in Russia,57
2010,Russia favorability in U.S.,49
2011,U.S. favorability in Russia,56
2011,Russia favorability in U.S.,49
2012,U.S. favorability in Russia,52
2012,Russia favorability in U.S.,37
2013,U.S. favorability in Russia,51
2013,Russia favorability in U.S.,37
2014,U.S. favorability in Russia,23
2014,Russia favorability in U.S.,19
2015,U.S. favorability in Russia,15
2015,Russia favorability in U.S.,22
2017,U.S. favorability in Russia,41
2017,Russia favorability in U.S.,29
