Year,Opinion_Type,Percentage_of_Respondents
2006,Favorable view of U.S.,63
2006,Confidence in U.S. President,32
2007,Favorable view of U.S.,61
2007,Confidence in U.S. President,35
2008,Favorable view of U.S.,50
2008,Confidence in U.S. President,25
2009,Favorable view of U.S.,59
2009,Confidence in U.S. President,85
2010,Favorable view of U.S.,66
2010,Confidence in U.S. President,76
2011,Favorable view of U.S.,85
2011,Confidence in U.S. President,81
2012,Favorable view of U.S.,72
2012,Confidence in U.S. President,74
2013,Favorable view of U.S.,69
2013,Confidence in U.S. President,70
2014,Favorable view of U.S.,66
2014,Confidence in U.S. President,60
2015,Favorable view of U.S.,68
2015,Confidence in U.S. President,66
2016,Favorable view of U.S.,72
2016,Confidence in U.S. President,78
2017,Favorable view of U.S.,57
2017,Confidence in U.S. President,24
