Year,News_Source,Share_of_Respondents
2001,Television,74
2001,Newspaper,45
2001,Internet,13
2001,Radio,18
2002,Television,82
2002,Newspaper,42
2002,Internet,14
2002,Radio,21
2003,Television,80
2003,Newspaper,50
2003,Internet,20
2003,Radio,18
2004,Television,74
2004,Newspaper,46
2004,Internet,24
2004,Radio,21
2005,Television,73
2005,Newspaper,36
2005,Internet,20
2005,Radio,16
2006,Television,72
2006,Newspaper,36
2006,Internet,24
2006,Radio,14
2007,Television,74
2007,Newspaper,34
2007,Internet,24
2007,Radio,13
2008,Television,70
2008,Newspaper,35
2008,Internet,40
2008,Radio,18
2009,Television,70
2009,Newspaper,32
2009,Internet,35
2009,Radio,17
2010,Television,66
2010,Newspaper,31
2010,Internet,41
2010,Radio,16
