Year,Sector,Healthcare expenditure (in billion GBP)
1997,Public,41.8
1998,Public,44.7
1999,Public,49.2
2000,Public,52.9
2001,Public,58.0
2002,Public,63.6
2003,Public,69.7
2004,Public,77.1
2005,Public,83.7
2006,Public,91.1
2007,Public,96.2
2008,Public,102.3
2009,Public,112.5
2010,Public,115.0
2011,Public,118.0
2012,Public,120.8
2013,Public,124.9
2014,Public,130.4
2015,Public,144.5
2016,Public,140.6
2017,Public,143.9
2018,Public,149.5
1997,Private,10.3
1998,Private,10.4
1999,Private,11.2
2000,Private,12.7
2001,Private,14.7
2002,Private,15.7
2003,Private,16.7
2004,Private,17.0
2005,Private,17.0
2006,Private,16.7
2007,Private,21.1
2008,Private,20.2
2009,Private,20.1
2010,Private,21.5
2011,Private,22.9
2012,Private,24.4
2013,Private,27.4
2014,Private,28.2
2015,Private,28.7
2016,Private,30.0
2017,Private,32.3
2018,Private,33.1
