Year,Trade_Type,Value_Trillion_USD
2000,Imports,1.23
2000,Exports,0.78
2001,Imports,1.15
2001,Exports,0.73
2002,Imports,1.17
2002,Exports,0.7
2003,Imports,1.27
2003,Exports,0.73
2004,Imports,1.49
2004,Exports,0.82
2005,Imports,1.69
2005,Exports,0.91
2006,Imports,1.88
2006,Exports,1.04
2007,Imports,1.98
2007,Exports,1.16
2008,Imports,2.14
2008,Exports,1.31
2009,Imports,1.58
2009,Exports,1.07
2010,Imports,1.93
2010,Exports,1.29
2011,Imports,2.34
2011,Exports,1.5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
