Year,Contribution_Type,Economic_Impact_Billion_USD
2020,Direct contribution,3131.23
2020,Total contribution,10001.1
2021,Direct contribution,3367.77
2021,Total contribution,10740.5
2022,Direct contribution,3593.51
2022,Total contribution,11469.3
2023,Direct contribution,3829.38
2023,Total contribution,12242.9
2024,Direct contribution,4080.35
2024,Total contribution,13072.1
2025,Direct contribution,4346.34
2025,Total contribution,13953.6
2026,Direct contribution,4627.12
2026,Total contribution,14897.1
2027,Direct contribution,4918.83
2027,Total contribution,15882.5
2028,Direct contribution,5230.74
2028,Total contribution,16937.9
2029,Direct contribution,5562.81
2029,Total contribution,18031
