Year,Team_Group,Average_Payroll_Million_USD
2002,All teams,67.5
2002,Playoff teams,67.5
2003,All teams,70.9
2003,Playoff teams,84.9
2004,All teams,69
2004,Playoff teams,100.9
2005,All teams,72.8
2005,Playoff teams,101.6
2006,All teams,77.6
2006,Playoff teams,95.2
2007,All teams,82.6
2007,Playoff teams,99.9
2008,All teams,89.5
2008,Playoff teams,104.2
2009,All teams,88.9
2009,Playoff teams,109.9
2010,All teams,90.6
2010,Playoff teams,103.5
2011,All teams,92.9
2011,Playoff teams,107.4
2012,All teams,98.02
2012,Playoff teams,106.23
