Year,Gender,Number_of_Victims
2000,Male,397
2000,Female,149
2001,Male,391
2001,Female,162
2002,Male,375
2002,Female,207
2003,Male,394
2003,Female,157
2004,Male,425
2004,Female,200
2005,Male,484
2005,Female,180
2006,Male,445
2006,Female,162
2007,Male,431
2007,Female,166
2008,Male,467
2008,Female,147
2009,Male,448
2009,Female,162
2010,Male,401
2010,Female,154
2011,Male,427
2011,Female,179
2012,Male,391
2012,Female,157
2013,Male,358
2013,Female,151
2014,Male,371
2014,Female,152
2015,Male,432
2015,Female,178
2016,Male,461
2016,Female,155
2017,Male,492
2017,Female,173
2018,Male,492
2018,Female,166
2019,Male,486
2019,Female,144
