Year,Opinion,Share of respondent
1996,Should be valid,27
1996,Should not be valid,68
1999,Should be valid,35
1999,Should not be valid,62
2004,Should be valid,42
2004,Should not be valid,55
2005,Should be valid,37
2005,Should not be valid,59
2006,Should be valid,42
2006,Should not be valid,56
2007,Should be valid,46
2007,Should not be valid,53
2008,Should be valid,40
2008,Should not be valid,56
2009,Should be valid,40
2009,Should not be valid,57
2010,Should be valid,44
2010,Should not be valid,53
2011,Should be valid,53
2011,Should not be valid,45
2012,Should be valid,50
2012,Should not be valid,49
2013,Should be valid,54
2013,Should not be valid,43
2014,Should be valid,55
2014,Should not be valid,42
2015,Should be valid,60
2015,Should not be valid,37
2016,Should be valid,61
2016,Should not be valid,37
2017,Should be valid,64
2017,Should not be valid,34
2018,Should be valid,67
2018,Should not be valid,31
2019,Should be valid,63
2019,Should not be valid,36
2020,Should be valid,67
2020,Should not be valid,31
2021,Should be valid,70
2021,Should not be valid,31
