Year,Yoghurt_Type,Average_Price_Euros
2010,Yoghurt with additives,2.4
2010,Yoghurt without additives,1.69
2011,Yoghurt with additives,2.46
2011,Yoghurt without additives,1.7
2012,Yoghurt with additives,2.47
2012,Yoghurt without additives,1.67
2013,Yoghurt with additives,2.4
2013,Yoghurt without additives,1.6
2014,Yoghurt with additives,2.43
2014,Yoghurt without additives,1.58
2015,Yoghurt with additives,2.35
2015,Yoghurt without additives,1.6
2016,Yoghurt with additives,2.41
2016,Yoghurt without additives,1.59
2017,Yoghurt with additives,2.44
2017,Yoghurt without additives,1.57
2018,Yoghurt with additives,2.48
2018,Yoghurt without additives,1.58
2019,Yoghurt with additives,2.45
2019,Yoghurt without additives,1.61
