Year,Region,Share of the population
2014,Belgium,32
2014,Flemish Region,31
2014,Brussels–Capital Region,42
2014,Walloon Region,24
2015,Belgium,34
2015,Flemish Region,36
2015,Brussels–Capital Region,36
2015,Walloon Region,29
2016,Belgium,37
2016,Flemish Region,39
2016,Brussels–Capital Region,41
2016,Walloon Region,32
2017,Belgium,38
2017,Flemish Region,43
2017,Brussels–Capital Region,35
2017,Walloon Region,30
2018,Belgium,38
2018,Flemish Region,43
2018,Brussels–Capital Region,41
2018,Walloon Region,29
2019,Belgium,43
,,
,,
,,
