Year,Gender,Percentage of tests passed,
2007/08,Male,47.3,
2007/08,Female,41.3,
2008/09,Male,48.6,
2008/09,Female,42.1,
2009/10,Male,49.1,
2009/10,Female,42.8,
2010/11,Male,49.6,
2010/11,Female,43.3,
2011/12,Male,50.3,
2011/12,Female,43.9,
2012/13,Male,50.6,
2012/13,Female,44,
2013/14,Male,50.7,
2013/14,Female,43.8,
2014/15,Male,50.5,
2014/15,Female,43.6,
2015/16,Male,50.6,
2015/16,Female,43.8,
2016/17,Male,50.6,
2016/17,Female,43.9,
2017/18,Male,50,
2017/18,Female,43,
2018/19,Male,49.6,
2018/19,Female,42.4,
2019/20,Male,49.6,
2019/20,Female,42.6,
,,,
,,,
,,,
,,,
